hasil_prediksi,nama_restoran,menu_makanan,alamat,kecamatan,kabupaten,crangka,harga,reting
3,"Koekie Katsu, Syiah Kuala",Chicken Katsu Sambal Matah,"Jl. Syiah Kuala No. 38-32 Bandar Baru, Kuta Alam, Banda Aceh",Kuta Alam,Banda Aceh,restoran,28000,4
3,"Richeese Factory, Banda Aceh",Combo Super Hot Deal 1,"Jl. Tengku H. M. Daud Beureuh, Kuta Alam, Banda Aceh",Kuta Alam,Banda Aceh,restoran,28000,4
2,"Queen Food & Drink, Kec. Syiahkuala, Rukoh",Nasi Ayam Kalasan,"Jl. Utama Rukoh, Lorong Lamara I Perumahan Aiaman Regency, No.A4, Kec Syiahkuala, Banda Aceh",Syiah Kuala,Banda Aceh,restoran,18000,4
2,"Ayam Penyet Nagoya Baru, Batoh",Ayam Penyet + Nasi Uduk,"Jl. T. M. Hasan, Banda Raya, Banda Aceh",Banda Raya,Banda Aceh,restoran,22000,4
1,"Martabak Durian Samudra Pase - Mdsp, Kuta Alam",Martabak Durian,Jl Tgk Daud Beureueh,Kuta Alam,Banda Aceh,restoran,13000,4
1,"Abbi Kebab Dan Burger, Ulee Kareng",Burger Big Telur Daging Sosis,"Jl. Panglima Nyak Makam, Lampineung, Kuta Baru Kec. Kuta Alam, Banda Aceh",Kuta Alam,Banda Aceh,cafe,12500,4
2,"Ayam Geprek Dan Nasi Bakar Mahasiswa, Jalan Lingkar Kampus UIN",PROMOOO... Nasi Ayam Bakar,Jalan Lingkar Kampus UIN Ar-Raniry,Syiah Kuala,Banda Aceh,restoran,21500,4
2,"Pajooh Kebab, Syiah Kuala",Kebab sedang,"Jl. Teuku Nyak Arief, Syiah Kuala, Banda Aceh",Syiah Kuala,Banda Aceh,cafe,18000,4
2,"Nasi Bebek Ayam Istimewa, Peunayong",Nasi Kari Bbek,"Jl. Pocut Baren, Peunayong, Kuta Alam, Banda Aceh",Kuta Alam,Banda Aceh,restoran,20000,4
2,"Nasi Uduk Ayam Penyet Cili, Pocut Baren",Nasi Putih Ayam Penyet,"Jl. Pocut Baren (Ie Teh Kupi), Kuta Alam, Banda Aceh",Kuta Alam,Banda Aceh,restoran,22000,3
2,"Nasi Goreng Kampung BANG DIN & Mie Aceh Rex Peunayong, Sri Ratu",Nasi Putih Keumamah + Telur Dadar/Mata Sapi,"Jl. Sri Ratu Syafiatuddin No. 90 (dekat Hotel Medan) Kuta Alam, Banda Aceh",Kuta Alam,Banda Aceh,restoran,18000,4
4,"Martabak Pecenongan 78, Peunayong Banda Aceh",Martabak Black Forest Cokelat,"Jl. T Panglima Polem No. 159, Kuta Alam, Banda Aceh",Kuta Alam,Banda Aceh,cafe,90000,4
2,"Alikebab, Hajidimurtala",Kebab Mini,"Jl. Hajidimurtala, Simpang 5, Kuta Alam, Banda Aceh",Kuta Alam,Banda Aceh,cafe,18000,4
2,"Toke Salad N Cake, Kuta Alam",Salad Sayur,"Jl. T Hasan Dek No. 175, Kuta Alam, Banda Aceh",Kuta Alam,Banda Aceh,cafe,20000,4
4,"Sate Matang Cek Li, Syiah Kuala",Sate Matang 10 Tusuk,"Jl. Teungku Lamgugob, Syiah Kuala, Banda Aceh",Syiah Kuala,Banda Aceh,restoran,33000,4
1,"Galang Burger, Kuta Alam Kampung Laksana",Burger Daging,Jln Dharma Kampung Laksana Banda Aceh.,Kuta Alam,Banda Aceh,cafe,14000,4
2,"Riski Kebab, Darussalam (Samping BreadBoy)",Burger Special,Darussalam,Syiah Kuala,Banda Aceh,cafe,23000,4
