,No.,Nama_Cafe_atau_Restoran,lokasi_restoran,jenis_masakan/minuman ,ulasan,sosial_media,nama_makanan,Kecamatan,Kabupaten,Cafe/restoran,Harga_Rata-rata,rating,Rentang_Harga_Rata-Rata,kecamatan,kabupaten,CR_Angka
18,19,"Pondok Orenz, Beurawe","Jl. T Hasan Dek, Kuta Alam, Banda Aceh","Aneka nasi, Seafood",Langganan. Paling suka sama nasi goreng dan sambalnya.,@pondokorenz,Paket Nasi Ayam Bakar,Kuta Alam,Banda Aceh,restoran,25000,4.7,3,2,1,1
19,20,"Ayam Geprek D'Ja, Lampriet","Jl. Gabus No. 41G, Kuta Alam, Banda Aceh",Ayam & bebek,smua²nyaaaa enk n bagus,@ayamgeprekdja12,Ayam Bakar Taliwang Khas D'ja + Nasi,Kuta Alam,Banda Aceh,restoran,16000,4.6,1,2,1,1
20,21,"Ayam Lepas, Lampriet","Jl. Kartika (Depan SMA 3), Kuta Alam, Banda Aceh",Ayam & bebek,"Ayamnya gurih mantap, apalagi sambal Lepaas nya juara",@ayam_lepas_lampriet,Paket Lele + Es Teh,Kuta Alam,Banda Aceh,restoran,25000,4.8,3,2,1,1
21,22,"Risol Spesial Banda, Asrama PHB","Asrama PHB, Jl. Nirbanya 1 No. 8, Kuta Alam, Banda Aceh","Minuman, Cepat saji, Jajanan",panasss pas di anter segerrr pkokny mantap,@risol_spesial_BNA,Risol Margo Viral Isi 5,Kuta Alam,Banda Aceh,cafe,32000,4.4,4,2,1,2
22,23,"Moorden Coffee, Beurawe","Jl. T Iskandar No. 13, Kuta Alam, Banda Aceh","Jajanan, Aneka nasi, Kopi","ngak perlu di ragukan, bakalan buat orang kangen dijamin",@moordencoffee,Nasi Goreng Kampung + Telor,Kuta Alam,Banda Aceh,restoran,27000,4.8,3,2,1,1
23,24,"King Kebab, Lamdingin","Jl. Syiah Kuala No. 191 (Sebelum Waroeng Nenek), Kuta Alam, Banda Aceh","
Timur Tengah, Jajanan","Best rasanya , memang sipaling teulom lom",@king.kebabb,Omelet Kebab,Kuta Alam,Banda Aceh,cafe,25000,4.7,3,2,1,2
24,25,"Mie Fadil, Sp. Tgk Di Blang","Jl. Syiah Kuala (Sp.Tgk Di Blang), Kuta Alam, Banda Aceh",Bakmie,"mantap mie nya, dagingnya egk pelit dipertahankan",@miefadil_sp.tgkdiblang,Mie Cumi-Cumi,Kuta Alam,Banda Aceh,cafe,25000,4.7,3,2,1,2
25,26,"Malioboro Seafood, Beurawe","Jl. T. Iskandar No. 5 (Disamping Kubra), Kuta Alam, Banda Aceh","Aneka nasi, Cepat saji","laen pas , masakkan nyaa enak masih panas .",@Malioboro_Seafood,Mie Aceh,Kuta Alam,Banda Aceh,cafe,12000,4.6,1,2,1,2
26,27,"Banda Banana, Gabus","Jl. Pocut Baren No. 110, Kuta Alam, Banda Aceh",Jajanan,"pesanan saya kuenya enak, pas matang nya, gak keras dan juga tidak lembek belum matang",@banda_banana,Coklat,Kuta Alam,Banda Aceh,cafe,22000,4.6,2,2,1,2
27,28,"Pizza Hut, Banda Aceh","Jl. Teuku HM Daud Beureueh No. 3, Kuta Alam, Banda Aceh","
Barat, Jajanan, Ayam & bebek, Pizza & pasta, Cepat saji",enak dan nikmat banget mantap,@PizzaHut_BandaAceh,Genshin Pizza.,Kuta Alam,Banda Aceh,cafe,136001,4.7,4,2,1,2
28,29,"Nasi Padang Aceh Buk Lia, Kuta Alam","Jl. Mayjen T Hamzah Bendahara, Kuta Alam, Banda Aceh","Ayam & bebek, Aneka nasi",Na,@NasiPadang_Lia,Nasi + Ayam Goreng,Kuta Alam,Banda Aceh,restoran,13000,4.6,1,2,1,1
29,30,"Pizza Banda, Syiah Kuala","Jl. Syiah Kuala, Kuta Alam, Banda Aceh",Pizza & pasta,"Sumpaaahhh, enak bangettt, topingnya gak pelit dan rotinya enak, aku beli 2 pizza kecil kadang di kash bonus jugaa terima kasih banyak kak, semoga jangan di turunin kualitasnya",@pizza_banda,Lasagna beef Size 250 Ml,Kuta Alam,Banda Aceh,cafe,32300,3.9,4,2,1,2
30,31,"Nasi Goreng Pattaya Ayah Son, Batoh","Jl. Dr. Ir. T. Moh. Hasan (Namdua Coffee), Banda Raya, Banda Aceh",Aneka nasi,agak kurang mantap. ga sperti biasanya,@NasiGoreng_Pattaya,Nasgor Biasa + Telur,Banda Raya,Banda Aceh,restoran,15000,4.6,1,3,1,1
