,No.,Nama_Cafe_atau_Restoran,lokasi_restoran,jenis_masakan/minuman ,ulasan,sosial_media,nama_makanan,Kecamatan,Kabupaten,Cafe/restoran,Harga_Rata-rata,rating,Rentang_Harga_Rata-Rata,kecamatan,kabupaten,CR_Angka
82,83,"JCO, Nyak Makam Aceh","Jl. T Panglima Nyak Makam No. 7, Syiah Kuala, Banda Aceh","Jajanan, Minuman, Roti",cepat sampai dan pesannannya pas terimkasih....,@jcoindonesia,Donuts 1/2 Dzn,Syiah Kuala,Banda Aceh,cafe,62000,4.7,4,1,1,2
83,84,"Ligat Coffee, Gp Keuramat","Jl. Teladan, Keuramat, Kuta Alam, Kota Banda Aceh","Minuman, Roti, Kopi",Na,Na,Ais Kopsu Ligat,Kuta Alam,Banda Aceh,cafe,20000,,2,2,1,2
84,85,Kanarasa Coffee,Jl P Nyak Makam No 3 Gampung Kota Baru Kecamatan Kuta Alam Banda Aceh,"Minuman, Kopi, Roti",se seger itu kuah indomienya!!,@kanarasacoffee,Kopi Kana,Kuta Alam,Banda Aceh,cafe,25000,4.8,3,2,1,2
85,86,"Banna Foody, Jeulingke","Jl. T. Nyak Arief, Syiah Kuala, Banda Aceh (Disamping Hotel Syariah Lingke)","Minuman, Jajanan, Roti",Na,@bannafoody,Basreng Premium Pedas Daun Jeruk,Syiah Kuala,Banda Aceh,cafe,11000,4.7,1,1,1,2
86,87,"Pempek Bingen, Kuta Alam, Jl Dharma No 16 Kuta Alam",Jl Dharma No 16 Kuta Alam,"Chinese, Seafood, Jajanan","Mie celornya enak, tapi udangnya gak seperti difoto ya,udangnya cuma berasa dikaldunya, gak ada wujudnya ",@pempek_bingen,Pempek Kapal Selam,Kuta Alam,Banda Aceh,cafe,37000,4.6,4,2,1,2
87,88,"D'CHEV CHICKEN, Jl.Iskandar Muda,Blang Oi","Jl. Iskandar Muda No.2, Blang Oi, Banda Aceh",cepat saji,Na,@d.chevchicken,Ayam Saus Korean + Keju,Meuraxa,Banda Aceh,cafe,20000,4.6,2,4,1,2
88,89,"ACEH BUMBU STORE (Oleh Oleh Bumbu Instan ), Peunayong, Banda Aceh","Jl. A. Yani No. 64, Kuta Alam, Banda Aceh","Aneka nasi, Cepat saji, Jajanan",Na,@aceh_bumbu_store,Sambal Baby Cumi Bawang,Kuta Alam,Banda Aceh,restoran,29500,3.6,4,2,1,1
89,90,"BUBUR KANJI BAMBY AWAK AWAI, PEUNAYONG Kuta Alam BANDAACEH",JL.H.T.Daudsyah No 1 Peunayong Banda Aceh,"Cepat saji, Aneka nasi, Jajanan","mantap, rasa buburnya bikin kita anget. pas bgt aku lg sakit makan ini, bikin anget dan nyaman",@buburkanjibamby_banda_ac,Bubur Kanji Ayam Pakai Cup 650 ml,Kuta Alam,Banda Aceh,restoran,17000,4.6,1,2,1,1
90,91,"Dapur Deqa, Warkop Dewantara","Jl. T. Panglima Polem No 149, Peunayong, Kuta Alam, Kota Banda Aceh","Aneka nasi, Cepat saji, Bakso & soto",Na,@dapur.deqa,Soto Daging,Kuta Alam,Banda Aceh,restoran,27000,4.4,3,2,1,1
91,92,"Warung Sumar, Kuta Alam/Asrama Kuta Alam",Jl.T Hamzah Bendahara Tni Ad Kuta Alam Depan Penerbit Erlangga Kuta Alam Banda Aceh,"Minuman, Cepat saji, Bakso & soto",Na,Na,Mie Bakso Besar,Kuta Alam,Banda Aceh,cafe,15000,4.3,1,2,1,2
92,93,"Sei Sapiku Sei Sapi, Aceh","Jln Sultan Iskandar Muda, Cot Lamkuweueh, Meuraxa, Banda Aceh City, Aceh,","Barat, Aneka nasi, Jajanan",enak burgernya berasa bumbunya,@seisapikuaceh,Burger Se'i Ayam,Meuraxa,Banda Aceh,restoran,34000,4.7,4,4,1,1
93,94,"Kopi Kenangan, SPBU Lamnyong Aceh","Jl. Teuku Nyak Arief, Lamnyong, Syiah Kuala, Banda Aceh","Minuman, Kopi, Jajanan, Sweets",Kayaknya bakal sering beli hot chocolate disinii xixixi,@kopikenangan.id,Kopi Susu Black Aren,Syiah Kuala,Banda Aceh,cafe,23000,4.7,2,1,1,2
94,95,"Soto Sikembar, Kec Kuta Alam (Haw Haw Kopi )","Jl. Mayjen T Hamzah Bendahara, Kuta Alam, Kec Kuta Alam Banda Aceh","Aneka nasi, Ayam & bebek, Bakso & soto","daging dan paru nya tidak ada, hanya kuah saja",Na,Nasi Putih + Sop Ayam,Kuta Alam,Banda Aceh,restoran,23000,4.0,2,2,1,1
95,96,"Bakso Isaura Premium, Peunayong","Jl. WR Suoratman No 77, Peunayong, Kec Kuta Alam, Kota Banda Aceh","Bakso & soto, Bakmie","Kuah kaldunya enak, saat udah dingin masih bisa dimakan karena gak berlemak. Mie ayamnya enak tapi ada sepotong kecil plastik biru di dalam salah 1 bungkus mie ayamnya. Tolong diperhatikan lg kebersihannya, plastik yg terkena panas kan berbahaya.",@baksoisaurapremium,Bakso Mangkok Mie Ayam,Kuta Alam,Banda Aceh,cafe,40000,3.8,4,2,1,2
96,97,"Baso Aci Akang, Banda Aceh","Jl. Teuku Moh Daud Beureueh No.147, Beurawe, Kuta Alam, Banda Aceh","Jajanan, Bakso & soto",enak semuanya. recommended bgt bagi yg suka baso aci serta lainnya next bakal makan di sini lagii. tapi untuk minuman bagi saya terlalu manis. sukses selaluuuu,@basoaciakang,Mie Jebew Boci,Kuta Alam,Banda Aceh,cafe,20000,4.6,2,2,1,2
97,98,"Muda Bakso Lampriet & Mie Ayam Pangsit, Kuta Alam","Jl. Cumi Cumi No. 19, Kuta Alam, Banda Aceh","Bakmie, Bakso & soto, Aneka nasi",bakso gede nya kurang cabe ,@muda_bakso,Indomie Bakso,Kuta Alam,Banda Aceh,restoran,14990,4.4,1,2,1,1
98,99,"Foodpedia, Banda Aceh","Jl. T Nyak Arief Lamgugop, Syiah Kuala, Banda Aceh","Minuman, Cepat saji, Bakso & soto",Baksonya gede dan enak.Puas,@foodpedia.official,Curacou Lime Blue,Syiah Kuala,Banda Aceh,cafe,15000,4.6,1,1,1,2
99,100,"Aluk Kupi, Kuta Alam/Peunayong/Aluk Kupi",Jln Twk Mohammad Daudsyah No 56,roti,Na,Na,Kue Kacang,Kuta Alam,Banda Aceh,cafe,7000,4.8,1,2,1,2
